answer,id,zero_shot,few_shot
9.0,chal-799,11.0,26.0
3.0,chal-800,2.5,4.0
5.0,chal-801,13.0,2.0
22.0,chal-802,25.0,14.0
11.0,chal-803,0.5,8.0
2.0,chal-804,13.0,3.0
112.0,chal-805,7600.2,76.0
2.0,chal-806,23.00,7.00
32.0,chal-807,1.8,19.0
8.0,chal-808,18.0,2.5
4.0,chal-809,12.57,54.2857142857
20.0,chal-810,133.8,11.0
21.0,chal-811,25.0,16.0
14.0,chal-812,7.9,42.5
1.0,chal-813,3.0,15.0
33.0,chal-814,17.6,90.0
1453.0,chal-815,625.3,493.2
17.0,chal-816,16.0,18.0
2.0,chal-817,3.0,1.0
32.0,chal-818,841.8,143.5
3.0,chal-819,7601.10760176027603,6.0
7.0,chal-820,14.5799,59.00
242.0,chal-821,744.8,150.1
90.0,chal-822,1.6,20.00
2.0,chal-823,7.00,7.0
2.0,chal-824,4.0,16.0
105.0,chal-825,6.0,65.00
10.0,chal-826,57.0,16.0
69.0,chal-827,9.0,71.0
527292.0,chal-828,3880.0,46852.00
1.0,chal-829,17.5,12.0
1.0,chal-830,26.0,10.0
826.0,chal-831,1440.3,378.5
574664.0,chal-832,81.6,82.5
1.0,chal-833,4.0,9.0
10.0,chal-834,22.0,22.0
16.0,chal-835,1.14,19.0
110.0,chal-836,57.0,57.00456
24.0,chal-837,74.0,164.2
34.0,chal-838,87.00,26.0
25.0,chal-839,58.0,87.0
946.0,chal-840,745.25,910.2
5.0,chal-841,19.00,5.0
2.0,chal-842,12.0,13.0
5.0,chal-843,168.2,16.0
14.0,chal-844,26.0,44.0
6.0,chal-845,12.0,9.0
1.0,chal-846,17.0,12.0
2080.0,chal-847,1900.0,1040.00
10.0,chal-848,12.0,6.0
7.0,chal-849,9.0,6.0
9.0,chal-850,8.0,8.0
11346.0,chal-851,1840.0,68.2
7.0,chal-852,35.0,43.0
13.0,chal-853,35.0,8.0
96.0,chal-854,56.0,19.5
11.0,chal-855,4.5,4.0
2.0,chal-856,17.1428571429,12.0
99.0,chal-857,7.6,234.1
24.0,chal-858,37.0,8.0
2436.0,chal-859,841.84,3132.3
210.0,chal-860,30.0,7.0
45.0,chal-861,83.0,18.0
1.0,chal-862,26.5,6.0
6.0,chal-863,2.5,3.0
22.0,chal-864,19.5,14.6
14.0,chal-865,37.00,20.00
109.0,chal-866,4256.25,76.5
146.0,chal-867,12.0,10.0
2.0,chal-868,18.5,3.5
3.0,chal-869,3.0,8.0
2.0,chal-870,7600.00000,50.0
10.0,chal-871,2.5,6.0
99.0,chal-872,54.0,26.0
9.0,chal-873,49.0,21.0
39.0,chal-874,85.0,91.0
3834.0,chal-875,1713.98,4248.98
265.0,chal-876,289.26394639463946394,598.8
5.0,chal-877,15.0,15.0
8.0,chal-878,12.0,20.0
72.0,chal-879,20.0,26.0
6.0,chal-880,17.0,14.0
3.0,chal-881,2.0,5.0
41.0,chal-882,7600.1,42.0
8.0,chal-883,8.0,19.0
39.0,chal-884,74.0,87.0
3.0,chal-885,2.0,2.0
10.0,chal-886,9.0,6.0
44.0,chal-887,19.0,52.1
12.0,chal-888,57.0,42.0
45.0,chal-889,14.0,9.00
208.0,chal-890,25.00,53.0
136.0,chal-891,109.2,14723.6
1.0,chal-892,87.0,4.0
9.0,chal-893,10.0,48.0
1.0,chal-894,17.0,6.0
8066.0,chal-895,15.700,1037.0
3.0,chal-896,3.00,3.00
7.0,chal-897,60.0,84.0
6.0,chal-898,23.0,1.7
13.0,chal-899,4.7,8.0
23.0,chal-900,58.0,46.0
3.0,chal-901,57.5,17.0
10.0,chal-902,4.5,25.0
2.0,chal-903,10.00,7.0
1.0,chal-904,27.5,68.0
7.0,chal-905,10.5,1.5
6.0,chal-906,3.75,23.5
156.0,chal-907,20.0,19.0
3.0,chal-908,15.0,18.0
30.0,chal-909,35.0,46.0
53.0,chal-910,17.0,21.0
112.0,chal-911,56.0,35.0
11.0,chal-912,53.0,47.0
1455.0,chal-913,378.2,804.00
53.0,chal-914,73.6832272887537832,65.2
73.0,chal-915,8.0,11.0
253.0,chal-916,468.4684684684685,385.0
123.0,chal-917,0.5,73.0
276.0,chal-918,19.6,424.6
10.0,chal-919,42.0,49.5
2.0,chal-920,48.0,10.0
7.0,chal-921,14.0,9.0
5.0,chal-922,0.00,30.0
198.0,chal-923,75.0292562500000000000,63.0
62.0,chal-924,23.5,32.0
21.0,chal-925,10.00,20.1
123.0,chal-926,58.00000000,15.0
7.0,chal-927,14.0,10.0
41.0,chal-928,56.0,57.5
49.0,chal-929,7601.48395,15.0
1791.0,chal-930,44624.00,55256.25
19.0,chal-931,56.0,20.0
3021.0,chal-932,59.0,54.0
94.0,chal-933,25.0,74.8
1.0,chal-934,3.0,3.0
621.0,chal-935,84.0,5700.0
353.0,chal-936,18.5,530.5
76.0,chal-937,5.6,35.5
17.0,chal-938,8.0,20.0
33.0,chal-939,18.00,165.0
10.0,chal-940,2.5,18.0
2.0,chal-941,7600.0,15.0
23.0,chal-942,27.0,76.0
1.0,chal-943,3.0,26.0
3.0,chal-944,8.9,47.0
14.0,chal-945,23.00,16.00
26.0,chal-946,14.00,19.00
14.0,chal-947,35.0,21.0
1.0,chal-948,10.0,2.0
22922.0,chal-949,59.459256789,14922.18
7.0,chal-950,2.6,10.0
58.0,chal-951,38.0,56.0
16.0,chal-952,83.0,68.0
274.0,chal-953,6.5,1.0
3.0,chal-954,10.0,10.0
1.0,chal-955,8.0,16.0
347.0,chal-956,141.0,301.0
54.0,chal-957,83.0,25.0
7.0,chal-958,760.2,13.0
8.0,chal-959,24.0,36.0
15.0,chal-960,65.5,58.3333
92.0,chal-961,26.0,83.9
6264.0,chal-962,5928.9,2520.00
784.0,chal-963,1680.7,385.2
1.0,chal-964,12.0,3.0
2.0,chal-965,8.0,2.5
1.0,chal-966,18.0,23.0
2.0,chal-967,3780.1,3802.54
1.0,chal-968,15.6,0.5
38.0,chal-969,12.5,23.0
2.0,chal-970,9.0,3.2
57.0,chal-971,846.54,1070.9
1088.0,chal-972,56.0,1040.0
32.0,chal-973,27.0,37.0
3.0,chal-974,20.0,22.0
4.0,chal-975,10.0,67.0
34.0,chal-976,22.9,42.00
41.0,chal-977,48.0,26.5
25.0,chal-978,13.5,38.0
7.0,chal-979,15.0,1.0
127.0,chal-980,7.5,89.0
5.0,chal-981,20.0,13.0
23.0,chal-982,27.0,48.0
1396.0,chal-983,805.2,743.8
2.0,chal-984,4.0,1.0
1054997.0,chal-985,37.000000000000000000000,3120.9
8.0,chal-986,7600.5,4.0
6.0,chal-987,4.0,6.0
5.0,chal-988,27.0,25.0
15089.0,chal-989,15891.00,1087.07
3.0,chal-990,12.0,6.0
81.0,chal-991,24.0,35.5
626.0,chal-992,462.9,378.00
6.0,chal-993,54.0,19.0
42.0,chal-994,10.5,78.0
331.0,chal-995,58.9,55.0
3.0,chal-996,25.0,17.5
56.0,chal-997,12.0,7.5
220.0,chal-998,19.5,16.5
3.0,chal-999,10.00,5.0
11.0,chal-1000,17.0,6.5
